"Gene","GeneSymbol","EntrezID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1704154","TNFRSF19",55504,0.41067539552463,-0.206481091701754,1.56315337136174,0.123499823896624,0.420276690140603,-5.30805941309069
"ILMN_2391345","RPP25L",138716,0.519550698544335,-0.146191510245614,1.562909601095,0.123557163211714,0.420411236629385,-5.30842264866969
"ILMN_1696432","IDH1",3417,-0.253553208564039,0.00520996512280701,-1.56280793938238,0.123581082244003,0.42045945757257,-5.30857411673466
"ILMN_1669189","RASSF5",83593,-0.322620455405172,-0.154728981947368,-1.56243879162245,0.123667966752724,0.420557869099033,-5.30912404231613
"ILMN_1785324","MTHFD1",4522,0.644901451923645,-0.33393558554386,1.56221982067637,0.123719527992535,0.420569816223942,-5.30945019071653
"ILMN_1744752","DISC2",27184,-0.642390491402709,-0.169013566333333,-1.5620016472331,0.12377091856726,0.420698235382983,-5.30977510959102
"ILMN_1795007","MAIP1",79568,0.162501738722906,0.022450350245614,1.56189002513892,0.12379721767003,0.420712792327903,-5.30994132879186
"ILMN_1674250","NCKAP1L",3071,-0.132774785846059,0.0225730675087719,-1.56169445485596,0.123843306461106,0.420748324519097,-5.31023253104642
"ILMN_1741971","MYORG",57462,0.60344220429064,0.706148948385965,1.56162485069098,0.123859712942454,0.420773797165004,-5.31033616290665
"ILMN_3309123","MIR543",100126335,-0.474680513155172,0.36137901277193,-1.56157539791466,0.12387137057344,0.420783134605449,-5.3104097893068
"ILMN_1767601","LINC00314",246705,-0.259086208259852,0.125967911368421,-1.56139854253996,0.123913068339318,0.420864240668367,-5.31067307805453
"ILMN_1758311","NET1",10276,0.306126231432266,-0.156840853,1.56112299469066,0.123978057549661,0.420994150271626,-5.31108323812303
"ILMN_1659601","CCL26",10344,-0.633112224139163,-0.353995621035088,-1.56100322895938,0.124006313349436,0.42102955832127,-5.3112614918047
"ILMN_2074258","BARD1",580,0.474756872681034,-0.180540460438597,1.56087254117373,0.124037151824561,0.421103990643031,-5.31145598705217
"ILMN_1705813","CFTR",1080,-0.540244513283251,-0.225939682385965,-1.56073469305286,0.124069686582795,0.421184170703083,-5.3116611224421
"ILMN_1748779","SLC4A10",57282,-0.260051485624384,0.170844123912281,-1.56041832026302,0.124144382370311,0.421352579360451,-5.31213186224239
"ILMN_2108823","FZD7",8324,-0.274737424974138,-0.0735809686491228,-1.5598589905282,0.124276528520031,0.421734783627646,-5.31296389027333
"ILMN_3310166","MIR99B",407056,0.646372082795566,0.102820160877193,1.55956551272743,0.124345910042744,0.421848992761734,-5.31340034223383
"ILMN_3191746","BCAR4",400500,-0.633854758736453,-0.405611154473684,-1.55959604206579,0.124338691111796,0.421848992761734,-5.31335494336693
"ILMN_1736242","PLEKHG4",25894,0.465716043799261,-0.451136391824561,1.55861532650069,0.124570757716606,0.422460074510881,-5.31481291591481
"ILMN_1687431","RNF6",6049,-0.227896312545566,0.110646559087719,-1.55849770584297,0.124598613544948,0.422524204217506,-5.31498771919165
"ILMN_1783795","BTNL3",10917,-0.801306832706897,-0.363781691157895,-1.55834589755786,0.124634573319198,0.422555131177879,-5.31521331291464
"ILMN_1657050","ARSK",153642,0.522095507185961,-0.240860666649123,1.55824404868038,0.124658703552458,0.422606605475605,-5.31536465348533
"ILMN_1679836","SYT8",90019,-0.253935267038177,0.108330948245614,-1.55802678830331,0.124710189795996,0.422720466072534,-5.31568745745274
"ILMN_1761411","MCMBP",79892,-0.646610454368227,-0.155866373035088,-1.55789130009443,0.124742306330836,0.422753175535864,-5.3158887439978
"ILMN_1721732","GSDMC",56169,-0.687267775061577,0.196404704561404,-1.55770257866202,0.124787052459962,0.422775803820237,-5.31616908913037
"ILMN_1763467","LY6G5C",80741,-0.596677257179803,-0.306914166403509,-1.55765588609813,0.124798125317308,0.422775803820237,-5.31623844598963
"ILMN_3309499","MIR1284",100302112,-0.197756975589902,0.055147594,-1.55757596958431,0.124817078856572,0.422794130066462,-5.31635714908343
"ILMN_1762210","HTR3B",9177,-0.583332248571429,0.788312784736842,-1.55730576222364,0.124881180116648,0.42296493144411,-5.31675845716921
"ILMN_1691636","DAZL",1618,-0.63756791354064,0.0463571549122807,-1.55717935000629,0.124911177914703,0.422976639162367,-5.31694618084889
"ILMN_1702763","ZMYM1",79830,0.40499366153202,-0.232341018684211,1.55710403379898,0.12492905329794,0.422976639162367,-5.31705801968749
"ILMN_1701643","GDPD5",81544,0.291613361371921,-0.0989417581578947,1.55721620025466,0.124902432703303,0.422976639162367,-5.31689145922547
"ILMN_1732767","PSMD9",5715,0.6454562675,-0.514352456666667,1.55692786844032,0.124970871989701,0.423087897279446,-5.31731959246805
"ILMN_1803590","ZFC3H1",196441,-0.236403555949507,-0.130865315842105,-1.5568195392506,0.124996593077025,0.423114318613987,-5.31748042767977
"ILMN_1751904","EDNRB",1910,-0.657984117972907,-0.356393426280702,-1.55664212342695,0.125038726863093,0.423186669175397,-5.31774381291872
"ILMN_1797310","ATP6V1D",51382,-0.151317539431034,0.160350521947368,-1.55667980420098,0.125029777254081,0.423186669175397,-5.31768787568112
"ILMN_2316806","RWDD1",51389,0.121305505124384,0.00846870333333334,1.55661635811224,0.125044846711097,0.423186669175397,-5.3177820609013
"ILMN_1765014","FOXB2",442425,-0.22109748514532,0.0922001080175439,-1.55615029214833,0.125155589350128,0.42345847496548,-5.31847382421574
"ILMN_1676383","ENPP6",133121,-0.51288306145197,0.477626865157895,-1.55607809213981,0.125172751919655,0.423467820780547,-5.31858097083918
"ILMN_1761262","MPI",4351,0.600825907068966,0.41945573622807,1.55559050491591,0.125288704933251,0.423738691206759,-5.31930444310946
"ILMN_1864813","LINC00290",728081,-0.625177265990148,-0.381780006385965,-1.55553673773295,0.125301496553169,0.423741147647201,-5.3193842090579
"ILMN_1771642","USP20",10868,0.608070663571428,-0.120773328596491,1.55543512423969,0.125325674025071,0.42376075715117,-5.31953495017614
"ILMN_1676077","LINC00487",400941,-0.411827560924877,0.322991372894737,-1.55534639222795,0.125346789585011,0.423783408653518,-5.31966657454437
"ILMN_2225254","ZNF740",283337,-0.54035039435468,-0.315268362631579,-1.55481105922702,0.12547424317349,0.423861011239085,-5.32046053714588
