"ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","EntrezID"
"ILMN_1778734",65.7079328571429,83.3524878571429,7.89570054730496,2.59628135794843e-06,0.00178500660992001,2.68880266316698,"FAN1","22909"
"ILMN_1693664",45.2551328571428,73.5051264285714,7.89921341920031,2.58372895845732e-06,0.00178500660992001,2.69118413305429,"POMGNT1","55624"
"ILMN_2202637",34.5846214285714,64.3399864285714,7.9248414650724,2.49408197092837e-06,0.00178500660992001,2.70850863246508,"CRY1","1407"
"ILMN_1662192",31.4937382857143,32.2656737142857,7.89553383809898,2.59687866123642e-06,0.00178500660992001,2.688689605849,"ZNF248","57209"
"ILMN_1661439",-272.924957142857,386.051592857143,-7.85082954745511,2.76244268310603e-06,0.00187243736477255,2.65823900032657,"FLOT1","10211"
"ILMN_1693552",-428.611128571428,827.32615,-7.7902695215116,3.00483684544137e-06,0.00191187395507827,2.61656112744273,"CD300A","11314"
"ILMN_1803277",-334.492385714286,732.954464285714,-7.81191139970491,2.91571666790378e-06,0.00191187395507827,2.63151195908257,"MVP","9961"
"ILMN_1767475",237.104528571429,406.43095,7.79226006885772,2.99652030801171e-06,0.00191187395507827,2.61793889918223,"CERK","64781"
"ILMN_1678490",-134.312942857143,228.8454,-7.78026785209896,3.04699666398376e-06,0.00191187395507827,2.60963027477708,"RILPL2","196383"
"ILMN_2393573",119.064874285714,129.06412,7.73514937091496,3.24514603085011e-06,0.00191187395507827,2.57819545882172,"RASSF1","11186"
"ILMN_1679405",100.230625714286,172.979572857143,7.76961380006657,3.09259838466541e-06,0.00191187395507827,2.60223241188567,"DDX56","54606"
"ILMN_1774735",18.7092822857143,20.0414845714286,7.727203007048,3.28143976619875e-06,0.00191187395507827,2.57263030745382,"DDB1","1642"
"ILMN_1885728",35.3107385714286,45.0112535714286,7.62921252626122,3.7661921842531e-06,0.00213722647869889,2.50328827965824,"DENND11","57189"
"ILMN_2286014",1769.37085714286,5706.474,7.56505495013196,4.12436720425726e-06,0.00218784231162355,2.45716308820026,"CATSPER2","117155"
"ILMN_1711617",-1158.10914285714,3779.17442857143,-7.57916175231563,4.04262258126218e-06,0.00218784231162355,2.46735461872575,"GMFG","9535"
"ILMN_1676002",122.111685714286,399.836928571429,7.58478785848002,4.01050223432875e-06,0.00218784231162355,2.47141140021937,"QRICH1","54870"
"ILMN_1660749",118.224742857143,322.021014285714,7.59545351715507,3.95035143048044e-06,0.00218784231162355,2.47908979276919,"ASPSCR1","79058"
"ILMN_1746393",26.16866,43.21557,7.56816475409907,4.10619729076772e-06,0.00218784231162355,2.45941219542169,"TSEN2","80746"
"ILMN_2212354",44.9777385714286,89.6955164285714,7.53617690534826,4.29722818113657e-06,0.00225502824649471,2.43621221609327,"WDR46","9277"
